Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Łukasz Skorupski,pl POL,GK,30,36,36,3240,36.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ab4449d6
Aaron Hickey,sct SCO,DF,19,36,34,2820,31.3,5,1,6,5,0,0,7,0,0.9,0.9,1.8,2.6,57,52,156,0.16,0.03,0.19,0.16,0.19,0.03,0.06,0.08,0.03,0.08,Matches,1780bb4a
Gary Medel,cl CHI,DF,33,33,32,2823,31.4,0,1,1,0,0,0,10,1,0.3,0.3,0.3,0.6,12,73,5,0.00,0.03,0.03,0.00,0.03,0.01,0.01,0.02,0.01,0.02,Matches,563a68ad
Marko Arnautović,at AUT,FW,32,33,32,2694,29.9,14,1,15,12,2,3,6,0,14.7,12.5,3.8,16.3,34,68,221,0.47,0.03,0.50,0.40,0.43,0.49,0.13,0.62,0.42,0.54,Matches,00459419
Roberto Soriano,it ITA,MF,30,35,32,2622,29.1,0,4,4,0,0,0,6,2,2.1,2.1,4.8,6.9,48,134,145,0.00,0.14,0.14,0.00,0.14,0.07,0.16,0.24,0.07,0.24,Matches,9d4c45d6
Mattias Svanberg,se SWE,MF,22,36,31,2564,28.5,3,3,6,3,0,0,7,0,2.1,2.1,2.8,4.9,39,103,57,0.11,0.11,0.21,0.11,0.21,0.07,0.10,0.17,0.07,0.17,Matches,92d83c27
Arthur Theate,be BEL,DF,21,31,28,2424,26.9,2,1,3,2,0,0,6,0,1.5,1.5,0.6,2.1,37,107,17,0.07,0.04,0.11,0.07,0.11,0.05,0.02,0.08,0.05,0.08,Matches,df8d6029
Lorenzo De Silvestri,it ITA,DF,33,31,27,2294,25.5,3,2,5,3,0,0,7,0,1.8,1.8,2.4,4.2,47,121,75,0.12,0.08,0.20,0.12,0.20,0.07,0.09,0.17,0.07,0.17,Matches,e74f0e59
Adama Soumaoro,fr FRA,DF,29,28,26,2266,25.2,0,0,0,0,0,0,6,2,0.9,0.9,0.0,0.9,16,61,10,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Matches,7b075c75
Musa Barrow,gm GAM,FWMF,22,34,25,2134,23.7,6,6,12,6,0,0,0,0,5.9,5.9,4.4,10.3,61,82,158,0.25,0.25,0.51,0.25,0.51,0.25,0.18,0.43,0.25,0.43,Matches,e5bf73f3
Nicolás Domínguez,ar ARG,MF,23,28,23,2015,22.4,0,3,3,0,0,0,8,0,1.2,1.2,2.4,3.6,18,113,44,0.00,0.13,0.13,0.00,0.13,0.05,0.11,0.16,0.05,0.16,Matches,20b3a502
Riccardo Orsolini,it ITA,FWMF,24,29,21,1785,19.8,6,3,9,4,2,2,2,0,6.4,4.8,2.1,6.9,38,60,125,0.30,0.15,0.45,0.20,0.35,0.32,0.11,0.43,0.24,0.35,Matches,e14ec482
Jerdy Schouten,nl NED,MF,24,17,16,1392,15.5,1,1,2,1,0,0,4,1,0.2,0.2,0.7,0.9,9,82,13,0.06,0.06,0.13,0.06,0.13,0.01,0.05,0.06,0.01,0.06,Matches,2cfae697
Kevin Bonifazi,it ITA,DF,25,22,14,1210,13.4,0,0,0,0,0,0,4,1,0.7,0.7,0.8,1.5,18,51,4,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches,fb77bfef
Mitchell Dijks,nl NED,DFFW,28,16,7,694,7.7,0,2,2,0,0,0,2,0,0.7,0.7,1.1,1.8,21,15,24,0.00,0.26,0.26,0.00,0.26,0.09,0.15,0.23,0.09,0.23,Matches,0a3065c8
Luis Binks,eng ENG,DF,19,15,7,646,7.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.1,1,17,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,36e88fbc
Nicola Sansone,it ITA,FWMF,29,27,6,896,10.0,2,3,5,2,0,0,6,0,3.5,3.5,2.0,5.5,21,22,64,0.20,0.30,0.50,0.20,0.50,0.35,0.21,0.55,0.35,0.55,Matches,7eb97a8e
Andreas Skov Olsen,dk DEN,FWDF,21,18,6,747,8.3,0,2,2,0,0,0,0,0,0.9,0.9,0.4,1.2,29,19,52,0.00,0.24,0.24,0.00,0.24,0.11,0.05,0.15,0.11,0.15,Matches,c50cee19
Michel Aebischer,ch SUI,MF,24,12,4,443,4.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,2,19,9,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10,Matches,f9c927de
Emanuel Vignato,it ITA,MFDF,20,24,3,594,6.6,0,1,1,0,0,0,2,0,0.3,0.3,2.2,2.4,22,55,37,0.00,0.15,0.15,0.00,0.15,0.04,0.33,0.36,0.04,0.36,Matches,ec5dae45
Francesco Bardi,it ITA,GK,29,2,2,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0acda699
Denso Kasius,nl NED,DFFW,18,7,1,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,6,3,20,0.00,0.00,0.00,0.00,0.00,0.07,0.25,0.32,0.07,0.32,Matches,7ae36711
Ibrahima Mbaye,sn SEN,DF,26,6,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,cfbf9881
Nicolas Viola,it ITA,MF,31,6,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,45392b06
Kingsley Michael,ng NGA,MF,21,2,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,e63e122d
Antonio Raimondo,it ITA,FW,17,1,1,74,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Matches,ce1a6c7e
Wisdom Amey,it ITA,DF,15,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,35b4bc62
Federico Santander,py PAR,FWDF,30,7,0,67,0.7,1,0,1,1,0,0,1,0,0.6,0.6,0.1,0.7,0,3,7,1.34,0.00,1.34,1.34,1.34,0.83,0.10,0.94,0.83,0.94,Matches,df85d472
Diego Falcinelli,it ITA,FW,30,6,0,66,0.7,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,1,2,9,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.78,0.78,0.78,Matches,a39b9ef6
Riccardo Stivanello,it ITA,DF,17,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,90e1d9dc
Kacper Urbanski,pl POL,MF,16,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2d9d9e42
Sydney van Hooijdonk,nl NED,FWMF,21,4,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5b418e15
Ebenezer Annan,gh GHA,DF,18,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,39aa05a7
Niklas Pyyhtiä,fi FIN,MF,17,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,88f53b75
Takehiro Tomiyasu,jp JPN,DF,22,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.73,0.00,0.73,Matches,b3af9be1
Nicola Bagnolini,it ITA,GK,17,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ad263695
Gianmarco Cangiano,it ITA,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,a36084cd
Gabriele Corbo,it ITA,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,091795f2
Davide Franzini,it ITA,GK,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,36720886
Omar Khailoti,it ITA,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,19d1c41f
Marco Molla,al ALB,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,6fe8796e
Mattia Pagliuca,it ITA,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,ad84294f
